"","Fecha","REGION","CASOS"
"691","12/03/2020","AYA",0
"692","13/03/2020","AYA",0
"693","14/03/2020","AYA",0
"694","15/03/2020","AYA",0
"695","16/03/2020","AYA",0
"696","17/03/2020","AYA",0
"697","18/03/2020","AYA",0
"698","19/03/2020","AYA",0
"699","20/03/2020","AYA",0
"700","21/03/2020","AYA",0
"701","22/03/2020","AYA",0
"702","23/03/2020","AYA",0
"703","24/03/2020","AYA",0
"704","25/03/2020","AYA",0
"705","26/03/2020","AYA",0
"706","27/03/2020","AYA",0
"707","28/03/2020","AYA",1
"708","29/03/2020","AYA",0
"709","30/03/2020","AYA",0
"710","31/03/2020","AYA",0
"711","01/04/2020","AYA",0
"712","02/04/2020","AYA",0
"713","03/04/2020","AYA",0
"714","04/04/2020","AYA",2
"715","05/04/2020","AYA",2
"716","06/04/2020","AYA",0
"717","07/04/2020","AYA",0
"718","08/04/2020","AYA",2
"719","09/04/2020","AYA",2
"720","10/04/2020","AYA",2
"721","11/04/2020","AYA",0
"722","TOTALES","AYA",11
"723","06/03/2020","HUA",0
"724","07/03/2020","HUA",0
"725","08/03/2020","HUA",0
"726","09/03/2020","HUA",0
"727","10/03/2020","HUA",0
"728","11/03/2020","HUA",0
"729","12/03/2020","HUA",0
"730","13/03/2020","HUA",0
"731","14/03/2020","HUA",0
"732","15/03/2020","HUA",0
"733","16/03/2020","HUA",0
"734","17/03/2020","HUA",0
"735","18/03/2020","HUA",0
"736","19/03/2020","HUA",0
"737","20/03/2020","HUA",0
"738","21/03/2020","HUA",0
"739","22/03/2020","HUA",0
"740","23/03/2020","HUA",0
"741","24/03/2020","HUA",0
"742","25/03/2020","HUA",0
"743","26/03/2020","HUA",0
"744","27/03/2020","HUA",0
"745","28/03/2020","HUA",0
"746","29/03/2020","HUA",0
"747","30/03/2020","HUA",0
"748","31/03/2020","HUA",1
"749","01/04/2020","HUA",0
"750","02/04/2020","HUA",0
"751","03/04/2020","HUA",0
"752","04/04/2020","HUA",0
"753","05/04/2020","HUA",1
"754","06/04/2020","HUA",5
"755","07/04/2020","HUA",0
"756","08/04/2020","HUA",0
"757","09/04/2020","HUA",0
"758","10/04/2020","HUA",0
"759","11/04/2020","HUA",2
"760","TOTALES","HUA",10
"761","06/03/2020","APU",0
"762","07/03/2020","APU",0
"763","08/03/2020","APU",0
"764","09/03/2020","APU",0
"765","10/03/2020","APU",0
"766","11/03/2020","APU",0
"767","12/03/2020","APU",0
"768","13/03/2020","APU",0
"769","14/03/2020","APU",0
"770","15/03/2020","APU",0
"771","16/03/2020","APU",0
"772","17/03/2020","APU",0
"773","18/03/2020","APU",0
"774","19/03/2020","APU",0
"775","20/03/2020","APU",0
"776","21/03/2020","APU",0
"777","22/03/2020","APU",0
"778","23/03/2020","APU",0
"779","24/03/2020","APU",0
"780","25/03/2020","APU",0
"781","26/03/2020","APU",0
"782","27/03/2020","APU",0
"783","28/03/2020","APU",0
"784","29/03/2020","APU",0
"785","30/03/2020","APU",0
"786","31/03/2020","APU",0
"787","01/04/2020","APU",1
"788","02/04/2020","APU",0
"789","03/04/2020","APU",0
"790","04/04/2020","APU",0
"791","05/04/2020","APU",0
"792","06/04/2020","APU",0
"793","07/04/2020","APU",0
"794","08/04/2020","APU",0
"795","09/04/2020","APU",2
"796","10/04/2020","APU",0
"797","11/04/2020","APU",2
"798","TOTALES","APU",5
"799","06/03/2020","MOQ",0
"800","07/03/2020","MOQ",0
"801","08/03/2020","MOQ",0
"802","09/03/2020","MOQ",0
"803","10/03/2020","MOQ",0
"804","11/03/2020","MOQ",0
"805","12/03/2020","MOQ",0
"806","13/03/2020","MOQ",0
"807","14/03/2020","MOQ",0
"808","15/03/2020","MOQ",0
"809","16/03/2020","MOQ",0
"810","17/03/2020","MOQ",0
"811","18/03/2020","MOQ",0
"812","19/03/2020","MOQ",0
"813","20/03/2020","MOQ",0
"814","21/03/2020","MOQ",0
"815","22/03/2020","MOQ",0
"816","23/03/2020","MOQ",0
"817","24/03/2020","MOQ",0
"818","25/03/2020","MOQ",0
"819","26/03/2020","MOQ",0
"820","27/03/2020","MOQ",0
"821","28/03/2020","MOQ",0
"822","29/03/2020","MOQ",0
"823","30/03/2020","MOQ",0
"824","31/03/2020","MOQ",0
"825","01/04/2020","MOQ",0
"826","02/04/2020","MOQ",0
"827","03/04/2020","MOQ",0
"828","04/04/2020","MOQ",1
"829","05/04/2020","MOQ",0
"830","06/04/2020","MOQ",0
"831","07/04/2020","MOQ",2
"832","08/04/2020","MOQ",0
"833","09/04/2020","MOQ",0
"834","10/04/2020","MOQ",5
"835","11/04/2020","MOQ",2
"836","TOTALES","MOQ",12
"837","06/03/2020","PUN",0
"838","07/03/2020","PUN",0
"839","08/03/2020","PUN",0
"840","09/03/2020","PUN",0
"841","10/03/2020","PUN",0
"842","11/03/2020","PUN",0
"843","12/03/2020","PUN",0
"844","13/03/2020","PUN",0
"845","14/03/2020","PUN",0
"846","15/03/2020","PUN",0
"847","16/03/2020","PUN",0
"848","17/03/2020","PUN",0
"849","18/03/2020","PUN",0
"850","19/03/2020","PUN",0
"851","20/03/2020","PUN",0
"852","21/03/2020","PUN",0
"853","22/03/2020","PUN",0
"854","23/03/2020","PUN",0
"855","24/03/2020","PUN",0
"856","25/03/2020","PUN",0
"857","26/03/2020","PUN",0
"858","27/03/2020","PUN",0
"859","28/03/2020","PUN",0
"860","29/03/2020","PUN",0
"861","30/03/2020","PUN",0
"862","31/03/2020","PUN",0
"863","01/04/2020","PUN",0
"864","02/04/2020","PUN",0
"865","03/04/2020","PUN",0
"866","04/04/2020","PUN",0
"867","05/04/2020","PUN",0
