"","Fecha","REGION","CASOS"
"866","20-MAR","AMA",0
"867","21-MAR","AMA",0
"868","22-MAR","AMA",0
"869","23-MAR","AMA",0
"870","24-MAR","AMA",0
"871","25-MAR","AMA",0
"872","26-MAR","AMA",0
"873","27-MAR","AMA",0
"874","28-MAR","AMA",0
"875","29-MAR","AMA",0
"876","30-MAR","AMA",0
"877","31-MAR","AMA",0
"878","1-ABR","AMA",0
"879","2-ABR","AMA",0
"880","3-ABR","AMA",0
"881","4-ABR","AMA",0
"882","5 ABRIL","AMA",0
"883","6-ABR","AMA",0
"884","7-ABR","AMA",10
"885","8-ABR","AMA",0
"886","9-ABR","AMA",6
"887","10-ABR","AMA",6
"888","11-ABR","AMA",0
"889","6-MAR","UCA",0
"890","7-MAR","UCA",0
"891","8-MAR","UCA",0
"892","9-MAR","UCA",0
"893","10-MAR","UCA",0
"894","11-MAR","UCA",0
"895","12-MAR","UCA",0
"896","13-MAR","UCA",0
"897","14-MAR","UCA",0
"898","15-MAR","UCA",0
"899","16-MAR","UCA",0
"900","17-MAR","UCA",0
"901","18-MAR","UCA",0
"902","19-MAR","UCA",0
"903","20-MAR","UCA",0
"904","21-MAR","UCA",0
"905","22-MAR","UCA",0
"906","23-MAR","UCA",0
"907","24-MAR","UCA",0
"908","25-MAR","UCA",0
"909","26-MAR","UCA",0
"910","27-MAR","UCA",0
"911","28-MAR","UCA",0
"912","29-MAR","UCA",0
"913","30-MAR","UCA",0
"914","31-MAR","UCA",0
"915","1-ABR","UCA",0
"916","2-ABR","UCA",0
"917","3-ABR","UCA",0
"918","4-ABR","UCA",0
"919","5 ABRIL","UCA",0
"920","6-ABR","UCA",0
